ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2008-04-18,4851.875564888422,4105.660609931988,5591.995395273738,4851.875564888422,4851.875564888422,-16.152745846250856,-16.152745846250856,-16.152745846250856,2.84868285418563,2.84868285418563,2.84868285418563,-19.001428700436485,-19.001428700436485,-19.001428700436485,0.0,0.0,0.0,4835.722819042171
2008-04-19,4844.558642534909,4139.046626609804,5579.890982057694,4844.558642534909,4844.558642534909,-19.813607333385693,-19.813607333385693,-19.813607333385693,-1.4743906940661495,-1.4743906940661495,-1.4743906940661495,-18.33921663931954,-18.33921663931954,-18.33921663931954,0.0,0.0,0.0,4824.745035201524
2008-04-20,4837.241720181397,4058.890163923635,5490.748002384943,4837.241720181397,4837.241720181397,-22.931119214063024,-22.931119214063024,-22.931119214063024,-3.9265501381366756,-3.9265501381366756,-3.9265501381366756,-19.004569075926344,-19.004569075926344,-19.004569075926344,0.0,0.0,0.0,4814.310600967334
2008-04-21,4829.924797827884,4066.9531523030346,5533.407703801592,4829.924797827884,4829.924797827884,-27.819888463744547,-27.819888463744547,-27.819888463744547,-6.823813586038036,-6.823813586038036,-6.823813586038036,-20.996074877706512,-20.996074877706512,-20.996074877706512,0.0,0.0,0.0,4802.104909364139
2008-04-22,4822.607875474371,4142.998835536129,5543.820239048702,4822.607875474371,4822.607875474371,-22.12293777857053,-22.12293777857053,-22.12293777857053,2.166285777012883,2.166285777012883,2.166285777012883,-24.28922355558342,-24.28922355558342,-24.28922355558342,0.0,0.0,0.0,4800.484937695801
2008-04-23,4815.290953120859,4000.2602596073093,5521.5880786530215,4815.290953120859,4815.290953120859,-23.486929766668176,-23.486929766668176,-23.486929766668176,5.349178819304109,5.349178819304109,5.349178819304109,-28.836108585972287,-28.836108585972287,-28.836108585972287,0.0,0.0,0.0,4791.804023354191
2008-04-24,4807.974030767346,4074.1840348905644,5522.774843047209,4807.974030767346,4807.974030767346,-32.70499525739704,-32.70499525739704,-32.70499525739704,1.8606069677508021,1.8606069677508021,1.8606069677508021,-34.565602225147835,-34.565602225147835,-34.565602225147835,0.0,0.0,0.0,4775.269035509949
2008-04-25,4800.657108413833,4011.002178659989,5502.967810021869,4800.657108413833,4800.657108413833,-38.535335193448496,-38.535335193448496,-38.535335193448496,2.8486828541808604,2.8486828541808604,2.8486828541808604,-41.38401804762936,-41.38401804762936,-41.38401804762936,0.0,0.0,0.0,4762.121773220385
2008-04-26,4793.340186060322,4032.619940317098,5476.477139600312,4793.340186060322,4793.340186060322,-50.65065670583731,-50.65065670583731,-50.65065670583731,-1.4743906940694929,-1.4743906940694929,-1.4743906940694929,-49.17626601176781,-49.17626601176781,-49.17626601176781,0.0,0.0,0.0,4742.689529354484
2008-04-27,4786.023263706808,4030.543886029342,5498.342077717887,4786.023263706808,4786.023263706808,-61.734043011537985,-61.734043011537985,-61.734043011537985,-3.9265501381346293,-3.9265501381346293,-3.9265501381346293,-57.80749287340337,-57.80749287340337,-57.80749287340337,0.0,0.0,0.0,4724.28922069527
2008-04-28,4778.706341353296,3956.314700826878,5459.872597024469,4778.706341353296,4778.706341353296,-73.94900212991016,-73.94900212991016,-73.94900212991016,-6.823813586032817,-6.823813586032817,-6.823813586032817,-67.12518854387734,-67.12518854387734,-67.12518854387734,0.0,0.0,0.0,4704.757339223386
2008-04-29,4771.389418999784,3977.852645839854,5388.290916411953,4771.389418999784,4771.389418999784,-74.79544107507145,-74.79544107507145,-74.79544107507145,2.166285777005666,2.166285777005666,2.166285777005666,-76.9617268520771,-76.9617268520771,-76.9617268520771,0.0,0.0,0.0,4696.593977924712
2008-04-30,4764.072496646271,3967.6022964481667,5377.645889356703,4764.072496646271,4764.072496646271,-81.78811863628599,-81.78811863628599,-81.78811863628599,5.349178819296445,5.349178819296445,5.349178819296445,-87.13729745558243,-87.13729745558243,-87.13729745558243,0.0,0.0,0.0,4682.284378009986
2008-05-01,4756.755574292758,3949.773120433283,5342.71834969623,4756.755574292758,4756.755574292758,-95.60256771507478,-95.60256771507478,-95.60256771507478,1.8606069677561847,1.8606069677561847,1.8606069677561847,-97.46317468283097,-97.46317468283097,-97.46317468283097,0.0,0.0,0.0,4661.153006577683
2008-05-02,4749.438651939246,3896.863386999803,5380.590407103674,4749.438651939246,4749.438651939246,-104.8965763427889,-104.8965763427889,-104.8965763427889,2.848682854182272,2.848682854182272,2.848682854182272,-107.74525919697116,-107.74525919697116,-107.74525919697116,0.0,0.0,0.0,4644.542075596457
